time,lat,lon,ux,uy,r17_forward_km,r17_backward_km,r17_left_km,r17_right_km,r17_mean_km,r17_mean_quadrant_km,r34_forward_km,r34_backward_km,r34_left_km,r34_right_km,r34_mean_km,r34_mean_quadrant_km,r50_forward_km,r50_backward_km,r50_left_km,r50_right_km,r50_mean_km,r50_mean_quadrant_km
2024-10-06 12:00:00,32.74003561336056,-48.31999999999999,0.4342796762148819,0.9007780874481224,558.4028288264545,551.8277353995409,319.38373849160666,704.9074677664055,367.463296042364,533.6304426210019,95.01992124856577,126.94440684670391,,148.4459637612605,121.09813226367062,123.47009728551006,,,,,,
2024-10-06 15:00:00,33.86415690284984,-47.68000000000001,0.601825534218109,0.7986275892824437,558.4318435598606,480.3319007779759,739.9017742328277,723.3918626799232,385.0839005731704,625.5143453126468,143.09290824465074,106.28368163978905,,169.2979327700881,131.60986848086353,139.55817421817596,,,,,,
2024-10-06 18:00:00,34.98827817925277,-46.666666666666686,0.5915693639863566,0.8062541085741999,534.8060383515998,545.5693898565781,782.6174304427898,692.4191391206994,383.43246442369656,638.8529994429168,57.795391104881865,110.8831720964897,,183.82808674116808,121.79498712959337,117.50221664751321,,,,,,
2024-10-06 21:00:00,36.112399441634714,-45.666666666666686,0.6942824768968877,0.7197026068272386,534.5486900794448,553.658312551044,791.3556602273605,734.3987846197031,399.6150211946831,653.4903618693882,105.61474673761353,111.82251925929921,,215.7458221502184,138.25406966125655,144.39436271571037,,,,,,
2024-10-07 00:00:00,36.95549037861555,-44.666666666666686,0.5819805608180659,0.8132026972593545,554.8000230224106,559.0231712998055,798.1442467122679,765.8326812327637,423.69175031263717,669.450030566812,61.01457039883225,126.34992914740586,,192.90495610811195,133.1553835968139,126.75648521811668,,,,,,
2024-10-07 03:00:00,38.079611613981385,-43.666666666666686,0.8118247126611354,0.5839012210234407,595.5672858128818,447.7989861994207,757.525542580845,784.2024297561084,441.163284756408,646.273561087314,94.84931677796102,108.86714063392094,,185.47296002414075,138.65055066537892,129.72980581200758,,,,,,
2024-10-07 06:00:00,38.92270252941418,-42.1875,0.7940736600212784,0.6078215383321088,595.5160483237039,538.7527411870774,712.5447740313886,784.9459333934088,423.29720696306583,657.9398742338947,58.93466534276001,58.62054758829408,,203.43625881202368,142.7575370622995,106.9971572476926,,,,,,
2024-10-07 09:00:00,39.76579343475757,-40.78125,0.8165851066609681,0.5772250545320218,546.0375109015479,514.1638112388348,672.4959477873244,780.2686616463327,404.7134712553161,628.24148289351,,75.6059918142524,91.49850575167062,,118.69390276254843,83.55224878296151,,,,,,
2024-10-07 12:00:00,40.60888432945018,-39.24000000000001,0.890584980708044,0.45481687758619177,594.8070623169746,585.6640443812385,508.4497977911786,797.4388227644243,393.09993428219286,621.589931813454,,163.74191017420935,69.18652774122543,132.53544366348711,146.77385417603065,121.82129385964065,,,,,,
2024-10-07 15:00:00,41.17094491970063,-37.80000000000001,0.8506403849470124,0.5257479771689079,584.8730056927385,400.38592970961747,508.8419097070867,775.378191060022,389.6856314384273,567.3697590423661,102.64357764223543,51.21216193964497,,265.9855564033386,168.2889241347774,139.94709866173966,,,,,,
